首站抵達地,細分,Year,Number_of_Travelers
歐洲地區,歐洲其他地區 Total,2013,18
歐洲地區,歐洲其他地區 Total,2014,1295
歐洲地區,歐洲其他地區 Total,2015,3546
歐洲地區,歐洲其他地區 Total,2016,35483
歐洲地區,歐洲其他地區 Total,2017,97542
歐洲地區,歐洲其他地區 Total,2018,81187
歐洲地區,歐洲其他地區 Total,2019,8334
歐洲地區,歐洲其他地區 Total,2020,480
歐洲地區,歐洲其他地區 Total,2021,393
歐洲地區,歐洲其他地區 Total,2022,1041
歐洲地區,歐洲其他地區 Total,2023,10029
歐洲地區,歐洲其他地區 Total,2024,18429
歐洲地區,歐洲合計 Total,2002,NA
歐洲地區,歐洲合計 Total,2003,NA
歐洲地區,歐洲合計 Total,2004,NA
歐洲地區,歐洲合計 Total,2005,NA
歐洲地區,歐洲合計 Total,2006,NA
歐洲地區,歐洲合計 Total,2007,NA
歐洲地區,歐洲合計 Total,2008,225023
歐洲地區,歐洲合計 Total,2009,236782
歐洲地區,歐洲合計 Total,2010,172405
歐洲地區,歐洲合計 Total,2011,239062
歐洲地區,歐洲合計 Total,2012,240760
歐洲地區,歐洲合計 Total,2013,119800
歐洲地區,歐洲合計 Total,2014,133677
歐洲地區,歐洲合計 Total,2015,161529
歐洲地區,歐洲合計 Total,2016,258087
歐洲地區,歐洲合計 Total,2017,496529
歐洲地區,歐洲合計 Total,2018,537777
歐洲地區,歐洲合計 Total,2019,363583
歐洲地區,歐洲合計 Total,2020,59773
歐洲地區,歐洲合計 Total,2021,7139
歐洲地區,歐洲合計 Total,2022,57536
歐洲地區,歐洲合計 Total,2023,311041
歐洲地區,歐洲合計 Total,2024,352172
全區,其他 Others,2002,NA
全區,其他 Others,2003,NA
全區,其他 Others,2004,NA
全區,其他 Others,2005,NA
全區,其他 Others,2006,NA
全區,其他 Others,2007,NA
全區,其他 Others,2008,592862
全區,其他 Others,2009,143312
全區,其他 Others,2010,3519
全區,其他 Others,2011,7486
全區,其他 Others,2012,3397
全區,其他 Others,2013,442
全區,其他 Others,2014,3460
全區,其他 Others,2015,1472
全區,其他 Others,2016,5646
全區,其他 Others,2017,5870
全區,其他 Others,2018,3398
全區,其他 Others,2019,75597
全區,其他 Others,2020,9022
全區,其他 Others,2021,865
全區,其他 Others,2022,1134
全區,其他 Others,2023,19166
全區,其他 Others,2024,5532
全區,總計 Grand Total,2002,NA
全區,總計 Grand Total,2003,NA
全區,總計 Grand Total,2004,NA
全區,總計 Grand Total,2005,NA
全區,總計 Grand Total,2006,NA
全區,總計 Grand Total,2007,NA
全區,總計 Grand Total,2008,8465172
全區,總計 Grand Total,2009,8142946
全區,總計 Grand Total,2010,9415074
全區,總計 Grand Total,2011,9583873
全區,總計 Grand Total,2012,10239760
全區,總計 Grand Total,2013,11052908
全區,總計 Grand Total,2014,11844635
全區,總計 Grand Total,2015,13182976
全區,總計 Grand Total,2016,14588923
全區,總計 Grand Total,2017,15654579
全區,總計 Grand Total,2018,16644684
全區,總計 Grand Total,2019,17101335
全區,總計 Grand Total,2020,2335564
全區,總計 Grand Total,2021,359977
全區,總計 Grand Total,2022,1482821
全區,總計 Grand Total,2023,11795834
全區,總計 Grand Total,2024,16849683
